row_idx,tick_idx,timestamp_ms,was_skipped_day,fps,fast_ms,t_sus_ms,t_render_ms,t_ui_ms,largest_slice_job,largest_slice_stage,largest_slice_substage,largest_slice_path,largest_slice_ms,sus_sim_p95_300,sus_sim_max_300,over_1ms_count_300,j_season_refresh_ms,j_season_refresh_slices,j_season_refresh_skip,j_enum_atlas_upload_ms,j_enum_atlas_upload_slices,j_enum_atlas_upload_skip,j_ocean_currents_ms,j_ocean_currents_slices,j_ocean_currents_skip,j_refresh_climate_daily_ms,j_refresh_climate_daily_slices,j_refresh_climate_daily_skip,j_weather_refresh_ms,j_weather_refresh_slices,j_weather_refresh_skip,j_dynamic_visual_atlas_upload_ms,j_dynamic_visual_atlas_upload_slices,j_dynamic_visual_atlas_upload_skip,bd_climate_pass_a_ms,bd_climate_pass_b_ms,bd_climate_ocean_ms,bd_climate_sea_ice_ms,bd_climate_ice_bake_ms,bd_climate_transp_ms,bd_climate_total_ms,bd_climate_cells,bd_climate_partial,bd_climate_current_pass,bd_climate_progress_ratio,bd_climate_dirty_ratio,bd_climate_visited_ratio,bd_climate_pass_b_path,bd_weather_weather_tick_ms,bd_weather_advance_ms,bd_weather_spawn_ms,bd_weather_distribute_ms,bd_weather_cyclone_ms,bd_weather_field_solve_ms,bd_weather_field_solve_total_ms,bd_weather_field_summary_ms,bd_weather_field_commit_total_ms,bd_weather_field_commit_setup_ms,bd_weather_field_commit_loop_ms,bd_weather_field_commit_dc_ms,bd_weather_field_commit_convergence_ms,bd_weather_weather_field_bake_ms,bd_weather_transp_ms,bd_weather_albedo_ms,bd_weather_veg_dyn_ms,bd_weather_cover_rebake_ms,bd_weather_veg_rebake_ms,bd_weather_feedback_ms,bd_weather_total_ms,bd_weather_fronts,bd_weather_albedo_ran,bd_weather_veg_dyn_ran,bd_weather_feedback_ran,bd_weather_begin_stage_a_ms,bd_weather_run_stage_a_slice_ms,bd_weather_stage_a_direct_ms,bd_weather_commit_stage_a_ms,bd_weather_stage_b_outer_ms,bd_weather_sync_fronts_ms,bd_weather_soak_dump_ms,bd_weather_prelude_ms,bd_weather_job_total_ms,bd_weather_job_unattributed_ms,bd_enum_atlas_axis,bd_enum_atlas_path,bd_enum_atlas_elapsed_ms,bd_enum_atlas_dirty_cells,bd_enum_atlas_dirty_pixels,bd_enum_atlas_buffer_patch_ms,bd_enum_atlas_image_ms,bd_enum_atlas_upload_ms,bd_enum_atlas_cache_valid,bd_enum_atlas_biome_pending,bd_enum_atlas_cover_pending,bd_enum_atlas_vegetation_pending,bd_sea_ice_atlas_done,bd_sea_ice_atlas_phase,bd_sea_ice_atlas_stage_name,bd_sea_ice_atlas_elapsed_ms,bd_sea_ice_atlas_reason,bd_dynamic_visual_atlas_done,bd_dynamic_visual_atlas_work_done,bd_dynamic_visual_atlas_elapsed_ms,bd_dynamic_visual_atlas_progress_ratio,bd_dynamic_visual_atlas_phase,bd_dynamic_visual_atlas_stage_name,bd_dynamic_visual_atlas_current_phase,bd_dynamic_visual_atlas_phase_cursor,bd_dynamic_visual_atlas_ticks_used,bd_dynamic_visual_atlas_total_ticks_used,bd_dynamic_visual_atlas_mask_path,bd_dynamic_visual_atlas_mask_dirty_count,bd_dynamic_visual_atlas_dirty_reason,bd_dynamic_visual_atlas_dirty_noop,bd_dynamic_visual_atlas_dirty_mask_available,bd_dynamic_visual_atlas_dirty_source,bd_dynamic_visual_atlas_max_cells_per_tick,bd_dynamic_visual_atlas_time_check_cells_per_step,bd_dynamic_visual_atlas_cpp_time_check_cells_per_step,bd_dynamic_visual_atlas_slice_budget_ms,bd_dynamic_visual_atlas_dynamic_dirty_cells,bd_dynamic_visual_atlas_dynamic_ms,bd_dynamic_visual_atlas_dynamic_prepare_ms,bd_dynamic_visual_atlas_dynamic_step_ms,bd_dynamic_visual_atlas_dynamic_finalize_ms,bd_dynamic_visual_atlas_dynamic_cells_considered,bd_dynamic_visual_atlas_dynamic_total_cells,bd_dynamic_visual_atlas_dynamic_pixels_written,bd_dynamic_visual_atlas_dynamic_cpp_calls,bd_dynamic_visual_atlas_dynamic_gd_calls,bd_dynamic_visual_atlas_dynamic_empty_calls,bd_dynamic_visual_atlas_dynamic_source,bd_dynamic_visual_atlas_dynamic_path,bd_dynamic_visual_atlas_dynamic_fallback_reason,bd_dynamic_visual_atlas_ecology_dirty_cells,bd_dynamic_visual_atlas_ecology_ms,bd_dynamic_visual_atlas_ecology_prepare_ms,bd_dynamic_visual_atlas_ecology_step_ms,bd_dynamic_visual_atlas_ecology_finalize_ms,bd_dynamic_visual_atlas_ecology_cells_considered,bd_dynamic_visual_atlas_ecology_total_cells,bd_dynamic_visual_atlas_ecology_pixels_written,bd_dynamic_visual_atlas_ecology_cpp_calls,bd_dynamic_visual_atlas_ecology_gd_calls,bd_dynamic_visual_atlas_ecology_empty_calls,bd_dynamic_visual_atlas_ecology_source,bd_dynamic_visual_atlas_ecology_path,bd_dynamic_visual_atlas_ecology_fallback_reason,bd_dynamic_visual_atlas_smooth_dirty_cells,bd_dynamic_visual_atlas_smooth_ms,bd_dynamic_visual_atlas_smooth_prepare_ms,bd_dynamic_visual_atlas_smooth_step_ms,bd_dynamic_visual_atlas_smooth_finalize_ms,bd_dynamic_visual_atlas_smooth_cells_considered,bd_dynamic_visual_atlas_smooth_pixels_written,bd_dynamic_visual_atlas_smooth_cpp_calls,bd_dynamic_visual_atlas_smooth_gd_calls,bd_dynamic_visual_atlas_smooth_empty_calls,bd_dynamic_visual_atlas_ice_dirty_cells,bd_dynamic_visual_atlas_ice_ms,bd_dynamic_visual_atlas_ice_prepare_ms,bd_dynamic_visual_atlas_ice_step_ms,bd_dynamic_visual_atlas_ice_finalize_ms,bd_dynamic_visual_atlas_ice_cells_considered,bd_dynamic_visual_atlas_ice_pixels_written,bd_dynamic_visual_atlas_ice_cpp_calls,bd_dynamic_visual_atlas_ice_gd_calls,bd_dynamic_visual_atlas_ice_empty_calls,bd_dynamic_visual_atlas_smooth_total_cells,bd_dynamic_visual_atlas_smooth_source,bd_dynamic_visual_atlas_smooth_path,bd_dynamic_visual_atlas_smooth_fallback_reason,bd_dynamic_visual_atlas_ice_total_cells,bd_dynamic_visual_atlas_ice_source,bd_dynamic_visual_atlas_ice_path,bd_dynamic_visual_atlas_ice_fallback_reason
50,656,86284,true,60,1,0.496,0.007,0,season_refresh,stage_11_feedback,cursor_0,stage,0.105,49.237,56.034,0,,,,,,,,,,,,,,,,,,,0.192,0.781,0.666,3.438,0,0.065,5,2400,false,done,1,1,1,full,0.3864,0.1555,0.205,0.0259,0,0.1555,0.1555,0.205,0.002,0.001,0,0.001,0,0,0,0.0041,0.0225,0,0,0.0174,1.33,12,true,true,true,0,0,0,0.346,0.224,0,0.003,0.01,0.602,0.019,biome,cached_full_update,20.827,2094,481429,19.576,0.006,1.213,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,36.105,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,19.037,0.028,18.519,0.402,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,25.962,0.881,24.582,0.395,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,28.64,3.523,24.606,0.416,2400,0,5,0,0,0,0.032,0.021,0,0.007,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
51,657,86376,false,60,46,44.627,0.993,0.161,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,36.901,49.237,56.034,0,0,0,policy_gated,0,0,policy_gated,0,0,policy_gated,5.762,6,,1.52,3,,36.914,1,,0.202,0.97,0.781,3.524,0,0.062,6,2400,false,done,1,1,1,full,0.3508,0.1152,0.203,0.0326,0,0.1152,0.1152,0.203,0.002,0.001,0,0.001,0,0,0,0,0,0,0,0,1.453,12,false,false,false,0,0,0,0.65,0.018,0,0.003,0.01,0.703,0.022,biome,cached_full_update,20.827,2094,481429,19.576,0.006,1.213,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,36.836,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,18.762,0.027,18.323,0.331,2400,2400,0,5,0,0,dirty_mask,cpp,,1696,17.053,0.742,16.255,0,1696,2400,0,4,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
52,658,86385,true,60,0,0.358,0.005,0,,,,,0,49.237,56.034,0,,,,,,,,,,,,,,,,,,,0.202,0.97,0.781,3.524,0,0.062,6,2400,false,done,1,1,1,full,0.3508,0.1152,0.203,0.0326,0,0.1152,0.1152,0.203,0.002,0.001,0,0.001,0,0,0,0,0,0,0,0,1.453,12,false,false,false,0,0,0,0.65,0.018,0,0.003,0.01,0.703,0.022,biome,cached_full_update,20.827,2094,481429,19.576,0.006,1.213,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,36.836,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,18.762,0.027,18.323,0.331,2400,2400,0,5,0,0,dirty_mask,cpp,,1696,17.053,0.742,16.255,0,1696,2400,0,4,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
53,659,86473,true,60,43,42.571,0.017,0.001,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,35.135,49.237,56.034,0,,,,,,,,,,,,,,,,,,,0.226,0.8,0.823,3.379,0,0.057,5,2400,false,done,1,1,1,full,0.3508,0.1152,0.203,0.0326,0,0.1152,0.1152,0.203,0.002,0.001,0,0.001,0,0,0,0,0,0,0,0,1.453,12,false,false,false,0,0,0,0.65,0.018,0,0.003,0.01,0.703,0.022,cover,skipped_no_dirty,1.309,0,0,1.242,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,35.016,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,18.762,0.027,18.323,0.331,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,24.399,0.742,23.304,0.261,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,27.467,3.284,23.598,0.494,2400,0,5,0,0,0,0.03,0.019,0,0.008,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
54,660,86480,true,60,0,0.66,0.006,0,,,,,0,49.237,56.034,0,,,,,,,,,,,,,,,,,,,0.226,0.8,0.823,3.379,0,0.057,5,2400,false,done,1,1,1,full,0.3508,0.1152,0.203,0.0326,0,0.1152,0.1152,0.203,0.002,0.001,0,0.001,0,0,0,0,0,0,0,0,1.453,12,false,false,false,0,0,0,0.65,0.018,0,0.003,0.01,0.703,0.022,cover,skipped_no_dirty,1.309,0,0,1.242,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,35.016,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,18.762,0.027,18.323,0.331,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,24.399,0.742,23.304,0.261,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,27.467,3.284,23.598,0.494,2400,0,5,0,0,0,0.03,0.019,0,0.008,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
55,661,86573,true,60,43,43.276,0.019,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,37.208,49.237,56.034,0,,,,,,,,,,,,,,,,,,,0.183,0.837,0.697,3.247,0,0.054,5,2400,false,done,1,1,1,full,0.3508,0.1152,0.203,0.0326,0,0.1152,0.1152,0.203,0.002,0.001,0,0.001,0,0,0,0,0,0,0,0,1.453,12,false,false,false,0,0,0,0.65,0.018,0,0.003,0.01,0.703,0.022,cover,skipped_no_dirty,1.309,0,0,1.242,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,37.116,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,18.609,0.028,18.218,0.267,2400,2400,0,5,0,0,dirty_mask,cpp,,1696,17.511,0.753,16.683,0,1696,2400,0,4,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
56,662,86588,true,60,0,0.389,0.006,0,,,,,0,49.237,56.034,0,,,,,,,,,,,,,,,,,,,0.183,0.837,0.697,3.247,0,0.054,5,2400,false,done,1,1,1,full,0.3508,0.1152,0.203,0.0326,0,0.1152,0.1152,0.203,0.002,0.001,0,0.001,0,0,0,0,0,0,0,0,1.453,12,false,false,false,0,0,0,0.65,0.018,0,0.003,0.01,0.703,0.022,cover,skipped_no_dirty,1.309,0,0,1.242,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,37.116,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,18.609,0.028,18.218,0.267,2400,2400,0,5,0,0,dirty_mask,cpp,,1696,17.511,0.753,16.683,0,1696,2400,0,4,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
57,663,86663,true,60,49,49.149,0.018,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,39.799,49.237,56.034,0,,,,,,,,,,,,,,,,,,,0.203,0.849,0.721,3.88,0,0.057,6,2400,false,done,1,1,1,full,0.3508,0.1152,0.203,0.0326,0,0.1152,0.1152,0.203,0.002,0.001,0,0.001,0,0,0,0,0,0,0,0,1.453,12,false,false,false,0,0,0,0.65,0.018,0,0.003,0.01,0.703,0.022,cover,skipped_no_dirty,1.309,0,0,1.242,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,39.699,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,18.609,0.028,18.218,0.267,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,27.356,0.753,25.748,0.739,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,29.616,5.484,23.52,0.527,2400,0,5,0,0,0,0.025,0.016,0,0.007,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
58,664,86676,true,60,0,0.391,0.006,0.001,,,,,0,49.237,56.034,0,,,,,,,,,,,,,,,,,,,0.203,0.849,0.721,3.88,0,0.057,6,2400,false,done,1,1,1,full,0.3508,0.1152,0.203,0.0326,0,0.1152,0.1152,0.203,0.002,0.001,0,0.001,0,0,0,0,0,0,0,0,1.453,12,false,false,false,0,0,0,0.65,0.018,0,0.003,0.01,0.703,0.022,cover,skipped_no_dirty,1.309,0,0,1.242,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,39.699,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,18.609,0.028,18.218,0.267,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,27.356,0.753,25.748,0.739,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,29.616,5.484,23.52,0.527,2400,0,5,0,0,0,0.025,0.016,0,0.007,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
59,665,86772,false,60,58,56.82,1.281,0.195,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,40.946,49.266,56.259,0,0,0,policy_gated,0,0,policy_gated,1.061,1,,12.868,6,,1.368,3,,40.962,1,,0.207,0.918,0.843,10.577,0,0.081,13,2400,false,done,1,1,1,full,0.3975,0.1334,0.234,0.0301,0,0.1334,0.1334,0.234,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.302,12,false,false,false,0,0,0,0.377,0.019,0,0.003,0.016,0.437,0.022,cover,skipped_no_dirty,1.309,0,0,1.242,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,40.846,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,19.419,0.03,18.938,0.387,2400,2400,0,5,0,0,dirty_mask,cpp,,1696,20.255,0.87,19.289,0,1696,2400,0,4,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
60,666,86780,true,60,0,0.372,0.005,0.001,,,,,0,49.266,56.259,0,,,,,,,,,,,,,,,,,,,0.207,0.918,0.843,10.577,0,0.081,13,2400,false,done,1,1,1,full,0.3975,0.1334,0.234,0.0301,0,0.1334,0.1334,0.234,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.302,12,false,false,false,0,0,0,0.377,0.019,0,0.003,0.016,0.437,0.022,cover,skipped_no_dirty,1.309,0,0,1.242,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,40.846,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,19.419,0.03,18.938,0.387,2400,2400,0,5,0,0,dirty_mask,cpp,,1696,20.255,0.87,19.289,0,1696,2400,0,4,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
61,667,86860,true,60,47,46.22,0.016,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,37.308,49.266,56.259,0,,,,,,,,,,,,,,,,,,,0.156,0.74,0.771,5.023,0,0.095,7,2400,false,done,1,1,1,full,0.3975,0.1334,0.234,0.0301,0,0.1334,0.1334,0.234,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.302,12,false,false,false,0,0,0,0.377,0.019,0,0.003,0.016,0.437,0.022,cover,skipped_no_dirty,1.211,0,0,1.163,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,37.213,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,19.419,0.03,18.938,0.387,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,28.354,0.87,26.91,0.443,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,28.946,4.29,24.144,0.404,2400,0,5,0,0,0,0.024,0.016,0,0.006,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
62,668,86867,true,60,0,0.379,0.005,0,,,,,0,49.266,56.259,0,,,,,,,,,,,,,,,,,,,0.156,0.74,0.771,5.023,0,0.095,7,2400,false,done,1,1,1,full,0.3975,0.1334,0.234,0.0301,0,0.1334,0.1334,0.234,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.302,12,false,false,false,0,0,0,0.377,0.019,0,0.003,0.016,0.437,0.022,cover,skipped_no_dirty,1.211,0,0,1.163,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,37.213,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,19.419,0.03,18.938,0.387,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,28.354,0.87,26.91,0.443,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,28.946,4.29,24.144,0.404,2400,0,5,0,0,0,0.024,0.016,0,0.006,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
63,669,86961,true,60,48,47.565,0.014,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,37.028,49.237,56.259,0,,,,,,,,,,,,,,,,,,,0.181,0.785,0.711,3.409,0,0.052,6,2400,false,done,1,1,1,full,0.3975,0.1334,0.234,0.0301,0,0.1334,0.1334,0.234,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.302,12,false,false,false,0,0,0,0.377,0.019,0,0.003,0.016,0.437,0.022,cover,skipped_no_dirty,1.211,0,0,1.163,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,36.963,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,18.276,0.027,17.854,0.334,2400,2400,0,5,0,0,dirty_mask,cpp,,1696,17.686,0.783,16.838,0,1696,2400,0,4,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
64,670,86968,true,60,0,0.38,0.005,0.001,,,,,0,49.237,56.259,0,,,,,,,,,,,,,,,,,,,0.181,0.785,0.711,3.409,0,0.052,6,2400,false,done,1,1,1,full,0.3975,0.1334,0.234,0.0301,0,0.1334,0.1334,0.234,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.302,12,false,false,false,0,0,0,0.377,0.019,0,0.003,0.016,0.437,0.022,cover,skipped_no_dirty,1.211,0,0,1.163,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,36.963,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,18.276,0.027,17.854,0.334,2400,2400,0,5,0,0,dirty_mask,cpp,,1696,17.686,0.783,16.838,0,1696,2400,0,4,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
65,671,87056,true,60,42,42.361,0.014,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,36.229,49.237,56.259,0,,,,,,,,,,,,,,,,,,,0.203,0.851,0.778,3.569,0,0.062,5,2400,false,done,1,1,1,full,0.3975,0.1334,0.234,0.0301,0,0.1334,0.1334,0.234,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.302,12,false,false,false,0,0,0,0.377,0.019,0,0.003,0.016,0.437,0.022,cover,skipped_no_dirty,1.211,0,0,1.163,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,36.135,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,18.276,0.027,17.854,0.334,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,25.743,0.783,24.326,0.516,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,27.915,3.483,23.907,0.418,2400,0,5,0,0,0,0.023,0.015,0,0.006,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
66,672,87064,true,59,0,0.395,0.006,0.001,,,,,0,49.237,56.259,0,,,,,,,,,,,,,,,,,,,0.203,0.851,0.778,3.569,0,0.062,5,2400,false,done,1,1,1,full,0.3975,0.1334,0.234,0.0301,0,0.1334,0.1334,0.234,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.302,12,false,false,false,0,0,0,0.377,0.019,0,0.003,0.016,0.437,0.022,cover,skipped_no_dirty,1.211,0,0,1.163,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,36.135,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,18.276,0.027,17.854,0.334,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,25.743,0.783,24.326,0.516,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,27.915,3.483,23.907,0.418,2400,0,5,0,0,0,0.023,0.015,0,0.006,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
67,673,87161,false,59,47,45.9,0.986,0.168,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,37.728,49.237,56.259,0,0,0,policy_gated,0,0,policy_gated,0,0,policy_gated,6.392,6,,1.258,3,,37.741,1,,0.398,1.393,0.824,3.388,0,0.067,6,2400,false,done,1,1,1,full,0.3641,0.1202,0.214,0.0299,0,0.1202,0.1202,0.214,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,1.189,12,false,false,false,0,0,0,0.342,0.018,0,0.004,0.012,0.396,0.02,cover,skipped_no_dirty,1.211,0,0,1.163,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,37.656,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,19.318,0.045,18.876,0.316,2400,2400,0,5,0,0,dirty_mask,cpp,,1696,16.952,0.735,16.158,0,1696,2400,0,4,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
68,674,87170,true,59,0,0.513,0.006,0,,,,,0,49.237,56.259,0,,,,,,,,,,,,,,,,,,,0.398,1.393,0.824,3.388,0,0.067,6,2400,false,done,1,1,1,full,0.3641,0.1202,0.214,0.0299,0,0.1202,0.1202,0.214,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,1.189,12,false,false,false,0,0,0,0.342,0.018,0,0.004,0.012,0.396,0.02,cover,skipped_no_dirty,1.211,0,0,1.163,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,37.656,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,19.318,0.045,18.876,0.316,2400,2400,0,5,0,0,dirty_mask,cpp,,1696,16.952,0.735,16.158,0,1696,2400,0,4,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
69,675,87258,true,59,44,44.261,0.015,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,36.064,49.237,56.259,0,,,,,,,,,,,,,,,,,,,0.297,1.002,1.051,3.518,0,0.071,6,2400,false,done,1,1,1,full,0.3641,0.1202,0.214,0.0299,0,0.1202,0.1202,0.214,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,1.189,12,false,false,false,0,0,0,0.342,0.018,0,0.004,0.012,0.396,0.02,cover,skipped_no_dirty,1.459,0,0,1.399,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,35.97,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,19.318,0.045,18.876,0.316,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,24.346,0.735,23.134,0.392,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,28.425,3.333,24.597,0.36,2400,0,5,0,0,0,0.024,0.016,0,0.005,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
