climate_pass_stage,lat_band,hydro,n,dT_mean_abs,dT_p95,dT_p99,dT_max,dT_pos_ratio,dT_neg_ratio,dM_p95,dM_max
pass_b,subtropical,land,64680,0.0018035036178107608,0.009777099999999971,0.025000000000000022,0.03374999999999995,0.012956091527520098,0.1753555967841682,0.14737739999999994,0.45482100000000003
pass_b,subtropical,water,56280,0.001073302025586354,0.005512999999999993,0.024999999999999994,0.025000999999999995,0.0,0.1306503198294243,0.07812714999999999,0.5138
transp,equatorial,land,63504,0.015219589726631393,0.03717384999999999,0.048616130000000056,0.096087,0.5302500629881582,0.4256739732930209,0.0728721499999999,0.29381199999999996
transp,equatorial,water,57456,0.00839548153369535,0.02205150000000003,0.04133804999999988,0.1186830000000001,0.5141673628515734,0.4075814536340852,0.0,0.245954
transp,mid_latitude,land,53760,0.02726224343377976,0.06561824999999999,0.0842203799999999,0.15,0.3648065476190476,0.49895833333333334,0.06782205000000004,0.330522
transp,mid_latitude,water,47040,0.030392200531462583,0.0681802,0.08946749,0.129073,0.36936649659863946,0.6209396258503401,0.05366115000000005,0.292817
transp,polar,land,4368,0.02474233814102564,0.058795949999999986,0.08915283000000003,0.11241599999999996,0.35714285714285715,0.5677655677655677,0.07550274999999995,0.247224
transp,polar,water,56112,0.015354713127316795,0.04927594999999997,0.08000000000000002,0.13320900000000002,0.23937838608497292,0.3993798118049615,0.03710334999999995,0.15062799999999998
transp,subtropical,land,64680,0.02779615839517625,0.06372839999999998,0.07974335999999997,0.140139,0.4888991960420532,0.41767161410018555,0.06083199999999988,0.33455900000000005
transp,subtropical,water,56280,0.026009142786069653,0.06573959999999994,0.09061747000000002,0.15000000000000002,0.601954513148543,0.38212508884150675,0.04844289999999991,0.34187199999999995
wind_air,equatorial,land,63504,0.012656115961199295,0.04999999999999993,0.06999999999999995,0.07500099999999998,0.0815381708238851,0.5921201814058957,0.07922960000000004,0.30973300000000004
wind_air,equatorial,water,57456,0.0019810935498468392,0.007760749999999969,0.050000000000000044,0.07500000000000007,0.0,0.05646059593428014,0.0,0.245954
wind_air,mid_latitude,land,53760,0.006501754631696429,0.028205099999999973,0.05000000000000002,0.08625000000000002,0.0482514880952381,0.3542224702380952,0.06937614999999986,0.343097
wind_air,mid_latitude,water,47040,0.004715713754251701,0.02516909999999999,0.05000000000000002,0.07500099999999998,0.0,0.28301445578231293,0.0534961999999998,0.292817
wind_air,polar,land,4368,0.013138093177655678,0.05,0.07178648999999995,0.08625000000000001,0.002976190476190476,0.5782967032967034,0.0759383,0.256173
wind_air,polar,water,56112,0.0024776510193897923,0.011088449999999972,0.04278002999999997,0.07500000000000001,0.0,0.210026375819789,0.03697664999999995,0.15062799999999998
wind_air,subtropical,land,64680,0.006592416929499073,0.03185139999999998,0.050000000000000044,0.07500000000000007,0.10470006184291898,0.32350030921459494,0.06741239999999987,0.34499100000000005
wind_air,subtropical,water,56280,0.0038617825692963755,0.01967194999999991,0.050000000000000024,0.07500000000000007,0.0,0.2462864250177683,0.04828304999999996,0.34187199999999995
wind_surface,equatorial,land,63504,0.015194555004409171,0.03709685000000004,0.04825691,0.096087,0.5296516754850088,0.4261148904006047,0.07922960000000004,0.30973300000000004
wind_surface,equatorial,water,57456,0.008390260146895015,0.02203150000000001,0.04122814999999993,0.1186830000000001,0.5141673628515734,0.4075814536340852,0.0,0.245954
wind_surface,mid_latitude,land,53760,0.027261605580357142,0.06560699999999997,0.08429351000000002,0.156283,0.36411830357142855,0.49901413690476193,0.06937614999999986,0.343097
wind_surface,mid_latitude,water,47040,0.030392809247448978,0.0681802,0.08946749,0.129073,0.36936649659863946,0.6209396258503401,0.0534961999999998,0.292817
wind_surface,polar,land,4368,0.0247225711996337,0.058795949999999986,0.08915283000000003,0.11241599999999996,0.3576007326007326,0.5670787545787546,0.0759383,0.256173
wind_surface,polar,water,56112,0.015353809185201028,0.04928490000000001,0.08000000000000002,0.13320900000000002,0.23939620758483035,0.39934416880524665,0.03697664999999995,0.15062799999999998
wind_surface,subtropical,land,64680,0.0277773586270872,0.06365714999999995,0.07951424999999998,0.140139,0.4879251700680272,0.41774891774891776,0.06741239999999987,0.34499100000000005
wind_surface,subtropical,water,56280,0.02601462958422175,0.06573959999999994,0.09061747000000002,0.15206200000000003,0.6020611229566454,0.3820362473347548,0.04828304999999996,0.34187199999999995
