=== cell 100 lat=0.025641 (samples=116) ===
tick,temp,t30,t365,seas_off,sea_ice,baseline,baseline_year
3323,0.317294,0.252689,0.206574,0.064342,0,0.252952,0.952811
3325,0.20565,0.252689,0.206574,0.064342,0,0.252952,0.952811
3327,0.095421,0.252689,0.206574,0.064342,0,0.252952,0.952811
3329,0.095421,0.252689,0.206574,0.064342,0,0.252952,0.952811
3331,0.095421,0.252689,0.206574,0.064342,0,0.252952,0.952811
3333,0.101589,0.25133,0.206589,-0.041031,0,0.252952,0.952811
3335,0.101589,0.25133,0.206589,-0.041031,0,0.252952,0.952811
3337,0.101589,0.25133,0.206589,-0.041031,0,0.252952,0.952811
3339,0.101589,0.25133,0.206589,-0.041031,0,0.252952,0.952811
3341,0.129833,0.24728,0.206379,-0.123118,0,0.252952,0.952811
3343,0.129833,0.24728,0.206379,-0.123118,0,0.252952,0.952811
3345,0.129833,0.24728,0.206379,-0.123118,0,0.252952,0.952811
3347,0.129833,0.24728,0.206379,-0.123118,0,0.252952,0.952811
3349,0.129833,0.24728,0.206379,-0.123118,0,0.252952,0.952811
3351,0.174882,0.24858,0.206598,0.033336,0,0.252952,0.952811
3353,0.065091,0.24858,0.206598,0.033336,0,0.252952,0.952811
3355,0.065091,0.24858,0.206598,0.033336,0,0.252952,0.952811
3357,0.065091,0.24858,0.206598,0.033336,0,0.252952,0.952811
3359,0.317294,0.250871,0.206901,0.064342,0,0.252952,0.952811
3361,0.095273,0.250871,0.206901,0.064342,0,0.252952,0.952811
3363,0.095273,0.250871,0.206901,0.064342,0,0.252952,0.952811
3365,0.095273,0.250871,0.206901,0.064342,0,0.252952,0.952811
3367,0.095273,0.250871,0.206901,0.064342,0,0.252952,0.952811
3369,0.2056,0.253085,0.207203,0.064342,0,0.252952,0.952811
=== cell 1500 lat=0.641026 (samples=116) ===
tick,temp,t30,t365,seas_off,sea_ice,baseline,baseline_year
3255,0.875777,0.817421,0.843191,0.083044,0,0.81177,0.885289
3257,0.875777,0.817421,0.843191,0.083044,0,0.81177,0.885289
3259,0.875777,0.817421,0.843191,0.083044,0,0.81177,0.885289
3261,0.872265,0.81925,0.843271,0.060494,0,0.81177,0.885289
3263,0.838609,0.81925,0.843271,0.060494,0,0.81177,0.885289
3265,0.838609,0.81925,0.843271,0.060494,0,0.81177,0.885289
3267,0.838609,0.81925,0.843271,0.060494,0,0.81177,0.885289
3269,0.677504,0.814525,0.842817,-0.134267,0,0.81177,0.885289
3271,0.677504,0.814525,0.842817,-0.134267,0,0.81177,0.885289
3273,0.637832,0.814525,0.842817,-0.134267,0,0.81177,0.885289
3275,0.637832,0.814525,0.842817,-0.134267,0,0.81177,0.885289
3277,0.637832,0.814525,0.842817,-0.134267,0,0.81177,0.885289
3279,0.727817,0.811634,0.842502,-0.083954,0,0.81177,0.885289
