=== ping-pong ������ (cells 69,70,130,131; tick 515..535) ===
 tick_idx  cell_index  temp_arr  temp_arr_prev  weather_precip_arr  weather_transition_alpha_arr  insolation_now_arr  cell_lat_norm_arr  weather_type_arr  weather_prev_type_arr  weather_target_type_arr  is_water_arr
      523         131  0.151983       0.118058            0.014416                          1.00            1.000000           0.051282                 0                      0                        0             0
      524         131  0.151983       0.118058            0.014416                          1.00            1.000000           0.051282                 0                      0                        0             0
      525         131  0.151983       0.118058            0.015910                          1.00            1.000000           0.051282                 0                      0                        0             0
      526         131  0.151983       0.118058            0.015910                          1.00            1.000000           0.051282                 0                      0                        0             0
      527         131  0.116221       0.118058            0.015910                          1.00            1.000000           0.051282                 0                      0                        0             0
      528         131  0.165918       0.118058            0.015910                          1.00            1.000000           0.051282                 0                      0                        0             0
      529         131  0.165918       0.118058            0.015910                          1.00            1.000000           0.051282                 0                      0                        0             0
      530         131  0.257059       0.165918            0.015910                          1.00            1.000000           0.051282                 0                      0                        0             0
      531         131  0.192059       0.165918            0.015910                          1.00            1.000000           0.051282                 0                      0                        0             0
      532         131  0.192059       0.165918            0.015910                          1.00            1.000000           0.051282                 0                      0                        0             0
      533         131  0.192059       0.165918            0.015910                          1.00            1.000000           0.051282                 0                      0                        0             0
      534         131  0.192059       0.165918            0.032207                          1.00            1.000000           0.051282                 0                      0                        0             0
      535         131  0.192059       0.165918            0.032207                          1.00            1.000000           0.051282                 0                      0                        0             0
      518        1539  0.471620       0.599697            0.284682                          1.00            0.660924           0.641026                 1                      2                        1             0
      519        1539  0.636748       0.471620            0.284682                          1.00            0.622838           0.641026                 1                      2                        1             0
      520        1539  0.611748       0.471620            0.284682                          1.00            0.622838           0.641026                 1                      2                        1             0
      521        1539  0.611748       0.471620            0.284682                          1.00            0.622838           0.641026                 1                      2                        1             0
      522        1539  0.597253       0.471620            0.245706                          1.00            0.622838           0.641026                 1                      2                        1             0
      523        1539  0.597253       0.471620            0.245706                          1.00            0.622838           0.641026                 1                      2                        1             0
      524        1539  0.597253       0.471620            0.245706                          1.00            0.622838           0.641026                 1                      2                        1             0
      525        1539  0.583401       0.471620            0.234579                          1.00            0.622838           0.641026                 1                      2                        1             0
      526        1539  0.583401       0.471620            0.234579                          1.00            0.622838           0.641026                 1                      2                        1             0
      527        1539  0.501320       0.471620            0.234579                          1.00            0.622838           0.641026                 1                      2                        1             0
      528        1539  0.431094       0.471620            0.234579                          1.00            0.622838           0.641026                 1                      2                        1             0
      529        1539  0.431094       0.471620            0.234579                          1.00            0.622838           0.641026                 1                      2                        1             0
      530        1539  0.606089       0.431094            0.234579                          1.00            0.594309           0.641026                 1                      2                        1             0
      531        1539  0.581089       0.431094            0.234579                          1.00            0.594309           0.641026                 1                      2                        1             0
      532        1539  0.581089       0.431094            0.234579                          1.00            0.594309           0.641026                 1                      2                        1             0
      533        1539  0.581089       0.431094            0.234579                          1.00            0.594309           0.641026                 1                      2                        1             0
      534        1539  0.569565       0.431094            0.187251                          1.00            0.594309           0.641026                 1                      2                        1             0
      535        1539  0.569565       0.431094            0.187251                          1.00            0.594309           0.641026                 1                      2                        1             0

=== max-jump ������ (cell 1539; tick 970..990) ===
 tick_idx  cell_index  temp_arr  temp_arr_prev  weather_precip_arr  weather_transition_alpha_arr  insolation_now_arr  cell_lat_norm_arr  weather_type_arr  weather_prev_type_arr  weather_target_type_arr  is_water_arr
      970        1539  0.543217       0.266575            0.071075                           1.0            0.732302           0.641026                 3                      1                        3             0
      971        1539  0.518217       0.266575            0.071075                           1.0            0.732302           0.641026                 3                      1                        3             0
      972        1539  0.518217       0.266575            0.071075                           1.0            0.732302           0.641026                 3                      1                        3             0
      973        1539  0.518217       0.266575            0.071075                           1.0            0.732302           0.641026                 3                      1                        3             0
      974        1539  0.495650       0.266575            0.052118                           1.0            0.732302           0.641026                 3                      1                        3             0
      975        1539  0.495650       0.266575            0.052118                           1.0            0.732302           0.641026                 3                      1                        3             0
      976        1539  0.495650       0.266575            0.052118                           1.0            0.732302           0.641026                 3                      1                        3             0
      977        1539  0.495650       0.266575            0.052118                           1.0            0.732302           0.641026                 3                      1                        3             0
      978        1539  0.374177       0.266575            0.052118                           1.0            0.732302           0.641026                 3                      1                        3             0
      979        1539  0.271231       0.266575            0.052118                           1.0            0.732302           0.641026                 3                      1                        3             0
      980        1539  0.271231       0.266575            0.052118                           1.0            0.732302           0.641026                 3                      1                        3             0
      981        1539  0.590595       0.271231            0.052118                           1.0            0.784880           0.641026                 3                      1                        3             0
      982        1539  0.565595       0.271231            0.052118                           1.0            0.784880           0.641026                 3                      1                        3             0
      983        1539  0.565595       0.271231            0.052118                           1.0            0.784880           0.641026                 3                      1                        3             0
      984        1539  0.543662       0.271231            0.049427                           1.0            0.784880           0.641026                 3                      1                        3             0
      985        1539  0.543662       0.271231            0.049427                           1.0            0.784880           0.641026                 3                      1                        3             0
      986        1539  0.543662       0.271231            0.049427                           1.0            0.784880           0.641026                 3                      1                        3             0
      987        1539  0.543662       0.271231            0.049427                           1.0            0.784880           0.641026                 3                      1                        3             0
      988        1539  0.543662       0.271231            0.049427                           1.0            0.784880           0.641026                 3                      1                        3             0
      989        1539  0.416909       0.271231            0.049427                           1.0            0.784880           0.641026                 3                      1                        3             0
      990        1539  0.320592       0.271231            0.049427                           1.0            0.784880           0.641026                 3                      1                        3             0
