day,phase,work,ms
21,building_commit,0,0.032700
21,family,0,0.146800
21,person,0,0.021600
21,native_hash,321600,1.368600
21,aggregate,0,2.008400
21,domain_projection,0,0.218200
21,ledger_validate,321600,0.141500
21,ledger_hash,321600,1.148800
21,ledger_export,321600,1.816200
21,pod_hash,321600,1.027600
22,building_plan,0,0.123500
22,trade_settle,0,0.000500
22,ledger_apply,0,0.000400
22,employment,0,0.356000
22,production,0,0.411000
22,household,0,1.049000
22,research,0,0.001200
22,trade_dispatch,0,0.007100
22,structural,0,0.129500
22,building_commit,0,0.334200
22,family,0,0.148000
22,person,0,0.021400
22,native_hash,321600,1.834500
22,aggregate,0,2.604300
22,domain_projection,0,0.240800
22,ledger_validate,321600,0.157000
22,ledger_hash,321600,1.263700
22,ledger_export,321600,2.110400
22,pod_hash,321600,1.161900
23,building_plan,0,0.148000
23,trade_settle,0,0.000500
23,ledger_apply,0,0.000500
23,employment,0,0.936800
23,production,0,0.871800
23,household,0,0.719600
23,research,0,0.002900
23,trade_dispatch,0,0.006900
23,structural,0,0.159600
23,building_commit,0,0.185500
23,family,0,0.196200
23,person,0,0.030700
23,native_hash,321600,1.704200
23,aggregate,0,3.407300
23,domain_projection,0,0.485200
23,ledger_validate,321600,0.193400
23,ledger_hash,321600,1.484800
23,ledger_export,321600,2.932900
23,pod_hash,321600,1.235100
24,building_plan,0,0.165200
24,trade_settle,0,0.000600
24,ledger_apply,0,0.000500
24,employment,0,0.569100
24,production,0,0.747500
24,household,0,1.383900
24,research,0,0.001600
24,trade_dispatch,0,0.010600
24,structural,0,0.253800
24,building_commit,0,0.046600
24,family,0,0.434800
24,person,0,0.046500
24,native_hash,321600,3.438200
24,aggregate,0,5.000200
24,domain_projection,0,0.438700
24,ledger_validate,321600,0.239800
24,ledger_hash,321600,1.526500
24,ledger_export,321600,2.995200
24,pod_hash,321600,1.705700
25,building_plan,0,0.182000
25,trade_settle,0,0.000600
25,ledger_apply,0,0.000600
25,employment,0,0.717200
25,production,0,1.144000
25,household,0,1.218200
25,research,0,0.003300
25,trade_dispatch,0,0.010000
25,structural,0,0.320200
25,building_commit,0,0.068900
25,family,0,0.275300
25,person,0,0.043700
25,native_hash,321600,2.479800
25,aggregate,0,6.287400
25,domain_projection,0,0.266300
25,ledger_validate,321600,0.168200
25,ledger_hash,321600,1.347500
25,ledger_export,321600,2.550300
25,pod_hash,321600,1.586400
26,building_plan,0,0.108800
26,trade_settle,0,0.000600
26,ledger_apply,0,0.000600
26,employment,0,0.538700
26,production,0,0.697900
26,household,0,0.771200
26,research,0,0.002700
26,trade_dispatch,0,0.006300
26,structural,0,0.090600
26,building_commit,0,0.036700
26,family,0,0.188700
26,person,0,0.027700
26,native_hash,321600,1.870800
26,aggregate,0,2.649100
26,domain_projection,0,0.300900
26,ledger_validate,321600,0.184000
26,ledger_hash,321600,1.440700
26,ledger_export,321600,2.435800
26,pod_hash,321600,1.192600
27,building_plan,0,0.133500
27,trade_settle,0,0.000600
27,ledger_apply,0,0.000400
27,employment,0,0.294500
27,production,0,0.374100
27,household,0,0.606100
27,research,0,0.001100
27,trade_dispatch,0,0.006000
27,structural,0,0.103400
27,building_commit,0,0.140300
27,family,0,0.142100
27,person,0,0.047100
27,native_hash,321600,1.384800
27,aggregate,0,2.052600
27,domain_projection,0,0.227500
27,ledger_validate,321600,0.143900
27,ledger_hash,321600,1.246400
27,ledger_export,321600,1.930900
27,pod_hash,321600,1.677200
28,building_plan,0,0.097400
28,trade_settle,0,0.000300
28,ledger_apply,0,0.000400
28,employment,0,0.475000
28,production,0,0.465400
28,household,0,0.569200
28,research,0,0.001100
28,trade_dispatch,0,0.006200
28,structural,0,0.130000
28,building_commit,0,0.027300
28,family,0,0.209400
28,person,0,0.021000
28,native_hash,321600,1.415800
28,aggregate,0,2.046100
28,domain_projection,0,0.221800
28,ledger_validate,321600,0.145200
28,ledger_hash,321600,1.191400
28,ledger_export,321600,1.900600
28,pod_hash,321600,1.014100
29,building_plan,0,0.089300
29,trade_settle,0,0.000500
29,ledger_apply,0,0.000300
29,employment,0,0.275500
29,production,0,0.356100
29,household,0,0.580400
29,research,0,0.000900
29,trade_dispatch,0,0.005200
29,structural,0,0.101600
29,building_commit,0,0.161400
29,family,0,0.143200
29,person,0,0.037300
29,native_hash,321600,1.443000
29,aggregate,0,2.098100
29,domain_projection,0,0.211000
29,ledger_validate,321600,0.157500
29,ledger_hash,321600,1.142200
29,ledger_export,321600,1.800400
29,pod_hash,321600,1.137300
30,building_plan,0,0.147700
30,trade_settle,0,0.000300
30,ledger_apply,0,0.000300
30,employment,0,0.373700
30,production,0,0.381700
30,household,0,0.879900
30,research,0,0.001100
30,trade_dispatch,0,0.005700
30,structural,0,0.101000
30,building_commit,0,0.167500
30,family,0,0.129600
30,person,0,0.024000
30,native_hash,321600,1.321800
30,aggregate,0,1.922700
30,domain_projection,0,0.206000
30,ledger_validate,321600,0.181700
30,ledger_hash,321600,1.137500
30,ledger_export,321600,1.810200
30,pod_hash,321600,0.943800
31,building_plan,0,0.057100
31,trade_settle,0,0.000400
31,ledger_apply,0,0.000300
31,employment,0,0.312000
31,production,0,0.566400
31,household,0,0.531000
31,research,0,0.001000
31,trade_dispatch,0,0.004700
31,structural,0,0.135500
31,building_commit,0,0.024500
31,family,0,0.138300
31,person,0,0.022500
31,native_hash,321600,1.408600
31,aggregate,0,2.007400
31,domain_projection,0,0.221300
31,ledger_validate,321600,0.139800
31,ledger_hash,321600,1.190100
31,ledger_export,321600,1.865200
31,pod_hash,321600,1.012400
32,building_plan,0,0.143100
32,trade_settle,0,0.000400
32,ledger_apply,0,0.000500
32,employment,0,0.368700
32,production,0,0.424600
32,household,0,0.540200
32,research,0,0.001000
32,trade_dispatch,0,0.004600
32,structural,0,0.128500
32,building_commit,0,0.269500
32,family,0,0.198300
32,person,0,0.024000
32,native_hash,321600,1.384500
32,aggregate,0,2.116800
32,domain_projection,0,0.308500
32,ledger_validate,321600,0.137700
32,ledger_hash,321600,1.170000
32,ledger_export,321600,1.894600
32,pod_hash,321600,0.956300
33,building_plan,0,0.093800
33,trade_settle,0,0.000400
33,ledger_apply,0,0.000400
33,employment,0,0.359900
33,production,0,0.363600
33,household,0,0.562100
33,research,0,0.001000
33,trade_dispatch,0,0.005500
33,structural,0,0.165100
33,building_commit,0,0.153600
33,family,0,0.143000
33,person,0,0.025200
33,native_hash,321600,1.476600
33,aggregate,0,2.320200
33,domain_projection,0,0.403800
33,ledger_validate,321600,0.301400
33,ledger_hash,321600,1.196900
33,ledger_export,321600,2.293000
33,pod_hash,321600,0.950700
34,building_plan,0,0.090600
