time_window,lat_band,hydro,n,precip_mean,precip_p95,precip_max,wet_ratio_gt_0p10,weather_active
W4:567-631,mid_latitude,water,33215,0.031878800572030706,0.067541,0.166426,0.005780520849014,0.19012494354960108
W4:567-631,polar,water,23400,0.028613760982905984,0.057279,0.11271,0.000811965811965812,0.06128205128205128
W4:567-631,subtropical,land,25935,0.05329721025641026,0.185812,0.307873,0.17690379795642955,0.3147098515519568
W4:567-631,subtropical,water,20865,0.03392731238916846,0.082916,0.307004,0.03532231008866523,0.1903666427030913
W5:632-696,equatorial,land,31720,0.11885716021437578,0.24405144999999986,0.305239,0.5548549810844893,0.8155737704918032
W5:632-696,equatorial,water,15080,0.05983941876657825,0.280168,0.323704,0.11061007957559682,0.160079575596817
W5:632-696,mid_latitude,land,5785,0.03463548487467588,0.14600400000000002,0.264939,0.11806395851339671,0.24995678478824546
W5:632-696,mid_latitude,water,33215,0.03208207451452657,0.074497,0.199837,0.015234080987505646,0.1443323799488183
W5:632-696,polar,water,23400,0.027317505726495727,0.053863,0.117991,0.0007692307692307692,0.05
W5:632-696,subtropical,land,25935,0.06433303134759977,0.210082,0.297866,0.24815885868517448,0.4380566801619433
W5:632-696,subtropical,water,20865,0.03644256347951114,0.097164,0.302183,0.047975077881619935,0.14593817397555714
W6:697-760,equatorial,land,31232,0.11457729802766393,0.245995,0.30457,0.5264152151639344,0.7792328381147541
W6:697-760,equatorial,water,14848,0.06265636988146552,0.3015194,0.325793,0.09947467672413793,0.13907596982758622
W6:697-760,mid_latitude,land,5696,0.026504107443820226,0.078662,0.191917,0.02264747191011236,0.19891151685393257
W6:697-760,mid_latitude,water,32704,0.036456530424412915,0.08282834999999993,0.231048,0.02247431506849315,0.38768957925636005
W6:697-760,polar,water,23040,0.026395686241319445,0.049795,0.122515,0.0008680555555555555,0.07651909722222222
W6:697-760,subtropical,land,25536,0.049664556625939854,0.157009,0.298424,0.1417998120300752,0.38980263157894735
W6:697-760,subtropical,water,20544,0.03630582987733645,0.08702064999999946,0.297815,0.0423481308411215,0.157904984423676
W7:761-825,equatorial,land,31720,0.11170220813366961,0.244868,0.319688,0.5186317780580075,0.7318726355611601
W7:761-825,equatorial,water,15080,0.059435531631299734,0.310998,0.328146,0.09356763925729443,0.12009283819628647
W7:761-825,mid_latitude,land,5785,0.050273168885047535,0.150741,0.22854,0.14485738980121002,0.3317199654278306
W7:761-825,mid_latitude,water,33215,0.034449531988559386,0.064638,0.289653,0.010326659641728134,0.1458377239199157
W7:761-825,polar,water,23400,0.028982338205128206,0.057314,0.106603,0.00021367521367521368,0.04692307692307692
W7:761-825,subtropical,land,25935,0.04911864611528822,0.178825,0.308779,0.1620975515712358,0.2940042413726624
W7:761-825,subtropical,water,20865,0.033887528205128206,0.068932,0.327625,0.020369039060627845,0.1216391085549964
W8:826-890,equatorial,land,31720,0.1250901201450189,0.252497,0.321908,0.6169293820933165,0.8238335435056746
W8:826-890,equatorial,water,15080,0.055821577917771883,0.312422,0.32659,0.10072944297082229,0.11777188328912466
W8:826-890,mid_latitude,land,5785,0.054118629559204844,0.165,0.229981,0.20224719101123595,0.4819360414866033
W8:826-890,mid_latitude,water,33215,0.03267460159566461,0.070181,0.287764,0.017401776305885894,0.17206081589643232
W8:826-890,polar,water,23400,0.02674799324786325,0.052366,0.125307,0.0011111111111111111,0.05239316239316239
W8:826-890,subtropical,land,25935,0.06419325475226527,0.204687,0.314271,0.243262001156738,0.46045883940620785
W8:826-890,subtropical,water,20865,0.031305503714354185,0.074348,0.329236,0.027749820273184757,0.11536065180924994
